gads,menesis,diena,laiks,stunda,minutes,time,date,timestamp,arena,klubs1,rezultars1,rezultars2,klubs2,klubslinks
2021,3,13,14:00,14,0,14:00:00,2021-03-13,2021-03-13 14:00:00,"Stadions ""Celtnieks""",BFC Daugavpils,2,1,FK Spartaks,"[<a href=""/klubi/bfc-daugavpils-11734/?cid=9852303"">BFC Daugavpils</a>, <a href=""/klubi/fk-spartaks-11735/?cid=9852303"">FK Spartaks</a>, <a href=""/speles/bfc-daugavpils-fk-spartaks-9852657/""> </a>]"
2021,3,13,15:00,15,0,15:00:00,2021-03-13,2021-03-13 15:00:00,"Stadions ""Daugava"", rezerves laukums",FK Liepāja,4,1,FK Metta,"[<a href=""/klubi/fk-liepaja-11927/?cid=9852303"">FK Liepāja</a>, <a href=""/klubi/fk-metta-12425/?cid=9852303"">FK Metta</a>, <a href=""/speles/fk-liepaja-fk-metta-9852658/""> </a>]"
2021,3,14,15:00,15,0,15:00:00,2021-03-14,2021-03-14 15:00:00,Rīgas Hanzas vidusskolas futbola laukums,RFS,2,3,Valmiera FC,"[<a href=""/klubi/rfs-11723/?cid=9852303"">RFS</a>, <a href=""/klubi/valmiera-fc-27794/?cid=9852303"">Valmiera FC</a>, <a href=""/speles/rfs-valmiera-fc-9852659/""> </a>]"
2021,5,20,17:00,17,0,17:00:00,2021-05-20,2021-05-20 17:00:00,SB Ķeizarmežs,FC Noah Jurmala,0,7,Riga FC,"[<a href=""/klubi/fc-noah-jurmala-35901/?cid=9852303"">FC Noah Jurmala</a>, <a href=""/klubi/riga-fc-11950/?cid=9852303"">Riga FC</a>, <a href=""/speles/fc-noah-jurmala-riga-fc-10087356/""> </a>]"
2021,3,19,17:00,17,0,17:00:00,2021-03-19,2021-03-19 17:00:00,"Stadions ""Daugava"", rezerves laukums",FK Liepāja,0,2,Riga FC,"[<a href=""/klubi/fk-liepaja-11927/?cid=9852303"">FK Liepāja</a>, <a href=""/klubi/riga-fc-11950/?cid=9852303"">Riga FC</a>, <a href=""/speles/fk-liepaja-riga-fc-9852661/""> </a>]"
2021,3,19,17:00,17,0,17:00:00,2021-03-19,2021-03-19 17:00:00,Vidzemes Olimpiskā centra stadions,Valmiera FC,2,2,BFC Daugavpils,"[<a href=""/klubi/valmiera-fc-27794/?cid=9852303"">Valmiera FC</a>, <a href=""/klubi/bfc-daugavpils-11734/?cid=9852303"">BFC Daugavpils</a>, <a href=""/speles/valmiera-fc-bfc-daugavpils-9905463/""> </a>]"
2021,3,20,15:00,15,0,15:00:00,2021-03-20,2021-03-20 15:00:00,Tukuma pils. stad. māksl. lauk.,FK Spartaks,1,0,FK Metta,"[<a href=""/klubi/fk-spartaks-11735/?cid=9852303"">FK Spartaks</a>, <a href=""/klubi/fk-metta-12425/?cid=9852303"">FK Metta</a>, <a href=""/speles/fk-spartaks-fk-metta-9852663/""> </a>]"
2021,4,29,18:00,18,0,18:00:00,2021-04-29,2021-04-29 18:00:00,Jāņa Skredeļa stadions,RFS,4,2,FC Noah Jurmala,"[<a href=""/klubi/rfs-11723/?cid=9852303"">RFS</a>, <a href=""/klubi/fc-noah-jurmala-35901/?cid=9852303"">FC Noah Jurmala</a>, <a href=""/speles/rfs-fc-noah-jurmala-10087467/""> </a>]"
2021,4,3,13:00,13,0,13:00:00,2021-04-03,2021-04-03 13:00:00,SB Ķeizarmežs,Riga FC,6,1,FK Spartaks,"[<a href=""/klubi/riga-fc-11950/?cid=9852303"">Riga FC</a>, <a href=""/klubi/fk-spartaks-11735/?cid=9852303"">FK Spartaks</a>, <a href=""/speles/riga-fc-fk-spartaks-9852665/""> </a>]"
2021,4,3,16:00,16,0,16:00:00,2021-04-03,2021-04-03 16:00:00,"Stadions ""Celtnieks""",BFC Daugavpils,3,2,FK Metta,"[<a href=""/klubi/bfc-daugavpils-11734/?cid=9852303"">BFC Daugavpils</a>, <a href=""/klubi/fk-metta-12425/?cid=9852303"">FK Metta</a>, <a href=""/speles/bfc-daugavpils-fk-metta-9947062/""> </a>]"
2021,4,4,15:00,15,0,15:00:00,2021-04-04,2021-04-04 15:00:00,Rīgas Hanzas vidusskolas futbola laukums,RFS,4,0,FK Liepāja,"[<a href=""/klubi/rfs-11723/?cid=9852303"">RFS</a>, <a href=""/klubi/fk-liepaja-11927/?cid=9852303"">FK Liepāja</a>, <a href=""/speles/rfs-fk-liepaja-9852667/""> </a>]"
2021,8,11,17:30,17,30,17:30:00,2021-08-11,2021-08-11 17:30:00,"Stadions ""Celtnieks""",FC Noah Jurmala,0,3,Valmiera FC,"[<a href=""/klubi/fc-noah-jurmala-35901/?cid=9852303"">FC Noah Jurmala</a>, <a href=""/klubi/valmiera-fc-27794/?cid=9852303"">Valmiera FC</a>, <a href=""/speles/fc-noah-jurmala-valmiera-fc-10090344/""> </a>]"
2021,4,10,15:00,15,0,15:00:00,2021-04-10,2021-04-10 15:00:00,"Stadions ""Daugava"", rezerves laukums",FK Liepāja,1,2,Valmiera FC,"[<a href=""/klubi/fk-liepaja-11927/?cid=9852303"">FK Liepāja</a>, <a href=""/klubi/valmiera-fc-27794/?cid=9852303"">Valmiera FC</a>, <a href=""/speles/fk-liepaja-valmiera-fc-9852671/""> </a>]"
2021,4,10,19:00,19,0,19:00:00,2021-04-10,2021-04-10 19:00:00,Rīgas Hanzas vidusskolas futbola laukums,FK Metta,1,1,Riga FC,"[<a href=""/klubi/fk-metta-12425/?cid=9852303"">FK Metta</a>, <a href=""/klubi/riga-fc-11950/?cid=9852303"">Riga FC</a>, <a href=""/speles/fk-metta-riga-fc-9852668/""> </a>]"
2021,4,11,17:00,17,0,17:00:00,2021-04-11,2021-04-11 17:00:00,Tukuma pils. stad. māksl. lauk.,FK Spartaks,0,1,RFS,"[<a href=""/klubi/fk-spartaks-11735/?cid=9852303"">FK Spartaks</a>, <a href=""/klubi/rfs-11723/?cid=9852303"">RFS</a>, <a href=""/speles/fk-spartaks-rfs-9852670/""> </a>]"
2021,7,9,18:00,18,0,18:00:00,2021-07-09,2021-07-09 18:00:00,"Stadions ""Celtnieks""",FC Noah Jurmala,1,4,BFC Daugavpils,"[<a href=""/klubi/fc-noah-jurmala-35901/?cid=9852303"">FC Noah Jurmala</a>, <a href=""/klubi/bfc-daugavpils-11734/?cid=9852303"">BFC Daugavpils</a>, <a href=""/speles/fc-noah-jurmala-bfc-daugavpils-10089794/""> </a>]"
2021,4,17,15:00,15,0,15:00:00,2021-04-17,2021-04-17 15:00:00,SB Ķeizarmežs,Riga FC,4,0,BFC Daugavpils,"[<a href=""/klubi/riga-fc-11950/?cid=9852303"">Riga FC</a>, <a href=""/klubi/bfc-daugavpils-11734/?cid=9852303"">BFC Daugavpils</a>, <a href=""/speles/riga-fc-bfc-daugavpils-9852672/""> </a>]"
2021,4,18,14:00,14,0,14:00:00,2021-04-18,2021-04-18 14:00:00,Rīgas Hanzas vidusskolas futbola laukums,FK Metta,3,3,RFS,"[<a href=""/klubi/fk-metta-12425/?cid=9852303"">FK Metta</a>, <a href=""/klubi/rfs-11723/?cid=9852303"">RFS</a>, <a href=""/speles/fk-metta-rfs-9947105/""> </a>]"
2021,4,19,18:00,18,0,18:00:00,2021-04-19,2021-04-19 18:00:00,Vidzemes Olimpiskā centra stadions,Valmiera FC,2,0,FK Spartaks,"[<a href=""/klubi/valmiera-fc-27794/?cid=9852303"">Valmiera FC</a>, <a href=""/klubi/fk-spartaks-11735/?cid=9852303"">FK Spartaks</a>, <a href=""/speles/valmiera-fc-fk-spartaks-9852675/""> </a>]"
2021,10,27,14:00,14,0,14:00:00,2021-10-27,2021-10-27 14:00:00,"Stadions “Daugava”, Liepāja",FK Liepāja,3,0,FC Noah Jurmala,"[<a href=""/klubi/fk-liepaja-11927/?cid=9852303"">FK Liepāja</a>, <a href=""/klubi/fc-noah-jurmala-35901/?cid=9852303"">FC Noah Jurmala</a>, <a href=""/speles/fk-liepaja-fc-noah-jurmala-10089959/""> </a>]"
