timestamp,arena,klubs1,rezultars1,klubs2,rezultars2
2021-03-13 14:00:00,"Stadions ""Celtnieks""",BFC Daugavpils,2,FK Spartaks,1
2021-03-13 15:00:00,"Stadions ""Daugava"", rezerves laukums",FK Liepāja,4,FK Metta,1
2021-03-14 15:00:00,Rīgas Hanzas vidusskolas futbola laukums,RFS,2,Valmiera FC,3
2021-05-20 17:00:00,SB Ķeizarmežs,FC Noah Jurmala,0,Riga FC,7
2021-03-19 17:00:00,"Stadions ""Daugava"", rezerves laukums",FK Liepāja,0,Riga FC,2
2021-03-19 17:00:00,Vidzemes Olimpiskā centra stadions,Valmiera FC,2,BFC Daugavpils,2
2021-03-20 15:00:00,Tukuma pils. stad. māksl. lauk.,FK Spartaks,1,FK Metta,0
2021-04-29 18:00:00,Jāņa Skredeļa stadions,RFS,4,FC Noah Jurmala,2
2021-04-03 13:00:00,SB Ķeizarmežs,Riga FC,6,FK Spartaks,1
2021-04-03 16:00:00,"Stadions ""Celtnieks""",BFC Daugavpils,3,FK Metta,2
2021-04-04 15:00:00,Rīgas Hanzas vidusskolas futbola laukums,RFS,4,FK Liepāja,0
2021-08-11 17:30:00,"Stadions ""Celtnieks""",FC Noah Jurmala,0,Valmiera FC,3
2021-04-10 15:00:00,"Stadions ""Daugava"", rezerves laukums",FK Liepāja,1,Valmiera FC,2
2021-04-10 19:00:00,Rīgas Hanzas vidusskolas futbola laukums,FK Metta,1,Riga FC,1
2021-04-11 17:00:00,Tukuma pils. stad. māksl. lauk.,FK Spartaks,0,RFS,1
2021-07-09 18:00:00,"Stadions ""Celtnieks""",FC Noah Jurmala,1,BFC Daugavpils,4
2021-04-17 15:00:00,SB Ķeizarmežs,Riga FC,4,BFC Daugavpils,0
2021-04-18 14:00:00,Rīgas Hanzas vidusskolas futbola laukums,FK Metta,3,RFS,3
2021-04-19 18:00:00,Vidzemes Olimpiskā centra stadions,Valmiera FC,2,FK Spartaks,0
2021-10-27 14:00:00,"Stadions “Daugava”, Liepāja",FK Liepāja,3,FC Noah Jurmala,0
2021-04-24 17:00:00,RTU stadions,FC Noah Jurmala,0,FK Spartaks,5
2021-04-24 19:00:00,Rīgas Hanzas vidusskolas futbola laukums,FK Metta,1,Valmiera FC,1
2021-04-25 17:15:00,SB Ķeizarmežs,Riga FC,0,RFS,3
2021-05-01 14:00:00,"Stadions ""Celtnieks""",BFC Daugavpils,0,FK Liepāja,1
2021-04-30 18:00:00,Vidzemes Olimpiskā centra stadions,Valmiera FC,2,Riga FC,1
2021-07-13 16:45:00,Daugavas stadions,FK Metta,7,FC Noah Jurmala,0
2021-08-11 18:00:00,"Stadions ""Daugava""",FK Liepāja,1,FK Spartaks,2
2021-10-27 14:00:00,"Stadions ""Celtnieks""",BFC Daugavpils,0,RFS,3
2021-05-04 18:00:00,Vidzemes Olimpiskā centra stadions,Valmiera FC,0,RFS,1
2021-05-05 17:00:00,"Stadions ""Celtnieks""",BFC Daugavpils,3,FK Spartaks,0
2021-05-05 18:00:00,Rīgas Hanzas vidusskolas futbola laukums,FK Metta,0,FK Liepāja,3
2021-06-13 16:00:00,Skonto stadions,Riga FC,1,FC Noah Jurmala,0
2021-05-09 15:00:00,SB Ķeizarmežs,Riga FC,4,FK Liepāja,1
2021-05-09 19:30:00,Rīgas Hanzas vidusskolas futbola laukums,FK Metta,2,FK Spartaks,0
2021-06-13 14:00:00,"Stadions ""Celtnieks""",BFC Daugavpils,1,Valmiera FC,2
2021-06-21 20:00:00,Jāņa Skredeļa stadions,RFS,5,FC Noah Jurmala,0
2021-05-09 17:00:00,Vidzemes Olimpiskā centra stadions,Valmiera FC,2,FC Noah Jurmala,0
2021-05-13 17:00:00,SB Ķeizarmežs,Riga FC,2,FK Spartaks,1
2021-05-14 18:00:00,"Stadions “Daugava”, Liepāja",FK Liepāja,1,RFS,2
2021-05-19 18:30:00,Rīgas Hanzas vidusskolas futbola laukums,FK Metta,0,BFC Daugavpils,1
2021-05-14 17:00:00,"Stadions ""Celtnieks""",BFC Daugavpils,1,FC Noah Jurmala,2
2021-05-18 18:00:00,Jāņa Skredeļa stadions,RFS,1,FK Spartaks,0
2021-05-19 19:30:00,Vidzemes Olimpiskā centra stadions,Valmiera FC,1,FK Liepāja,0
2021-05-28 18:00:00,SB Ķeizarmežs,Riga FC,3,FK Metta,0
2021-05-23 14:00:00,"Jūrmalas pilsētas stadions ""Sloka""",FK Spartaks,1,Valmiera FC,0
2021-05-24 18:00:00,"Stadions ""Celtnieks""",BFC Daugavpils,1,Riga FC,1
